assisted_living_facility,assisted_living_facility_label,city,County,latitude,longitude,beds,no_substantiated_complaints,sanctions_final_orders,fines,total_deficiencies,class_1,class_2,class_3,class_4,unclassified
"Good Sam'S Assisted Living Residence, Llc",Good Sam'S Assisted Living Residence,Palm Coast,Flagler,29.5343,-81.2183,6,0,0,0,7,0,0,5,2,0
Sabal Palms Assisted Living And Memory Care,Sabal Palms Assisted Living And Memory Care,Palm Coast,Flagler,29.5995,-81.2257,98,3,0,0,12,0,0,10,1,1
Lake Hendon Estate Assisted Living,Lake Hendon Estate Assisted Living,Saint Cloud,Osceola,28.3183,-81.2257,6,0,0,0,20,0,0,19,0,1
Golden House Senior Living #1,Golden House Senior Living #1,St. Johns,St. Johns,29.5135,-81.2265,10,1,0,0,1,0,0,1,0,0
Benton House Of Narcoossee,Benton House Of Narcoossee,Saint Cloud,Osceola,28.3342,-81.2293,93,0,1,0,0,0,0,0,0,0
Sancerre At Palm Coast,Sancerre At Palm Coast,Palm Coast,Flagler,29.5489,-81.2301,116,0,0,0,1,0,0,1,0,0
Smallville Ii,Smallville Ii,Orlando,Orange,28.5512,-81.2302,6,1,0,0,6,0,2,2,2,0
Brendlyn Assisted Living Llc,Brendlyn Assisted Living,Palm Coast,Flagler,29.5984,-81.231,5,0,0,0,0,0,0,0,0,0
Lutheran Haven Assisted Living Facility,Lutheran Haven Assisted Living Facility,Oviedo,Seminole,28.6426,-81.2312,31,0,0,0,1,0,0,1,0,0
Golden Age Home Care Corp,Golden Age Home Care Corp,Deltona,Volusia,28.8989,-81.2375,6,0,1,0,0,0,0,0,0,0
Smallville,Smallville,Orlando,Orange,28.5552,-81.2414,6,0,0,0,4,0,0,4,0,0
"S & B Kingdom Care, Llc",S & B Kingdom Care,Palm Coast,Flagler,29.5518,-81.2417,6,0,0,0,5,0,0,4,0,1
Market Street Palm Coast,Market Street Palm Coast,Palm Coast,Flagler,29.5526,-81.2423,68,2,0,0,6,0,0,6,0,0
"Magnolia Manor Of Palm Coast, Inc.",Magnolia Manor Of Palm Coast.,Palm Coast,Flagler,29.5793,-81.2473,6,1,0,0,16,0,0,14,1,1
"Home Sweet Home Alf, Llc",Home Sweet Home ALF,Palm Coast,Flagler,29.5636,-81.2505,6,0,1,0,0,0,0,0,0,0
Your Sanctuary Assisted Living Llc,Your Sanctuary Assisted Living,Orlando,Orange,28.5124,-81.2544,6,0,1,0,0,0,0,0,0,0
Gentle Care Assisted Living 3,Gentle Care Assisted Living 3,Palm Coast,Flagler,29.5193,-81.2561,6,2,1,0,2,0,0,2,0,0
Therapeutic Assisted Living Corp,Therapeutic Assisted Living Corp,Palm Coast,Flagler,29.6037,-81.2576,6,0,0,0,0,0,0,0,0,0
Good Samaritan Care Center Assisted Living Facility Inc.,Good Samaritan Care Center Assisted Living Facility.,Palm Coast,Flagler,29.5083,-81.2611,6,0,0,0,1,0,0,1,0,0
Gold Choice Deltona,Gold Choice Deltona,Deltona,Volusia,28.931,-81.2619,96,1,0,0,4,0,0,4,0,0
Sweet Home At Last,Sweet Home At Last,Deltona,Volusia,28.908,-81.2645,6,0,0,0,7,0,0,7,0,0
Marina Isle Assisted Living,Marina Isle Assisted Living,Sanford,Seminole,28.8166,-81.2659,115,0,0,0,0,0,0,0,0,0
"Gracious Age, Llc",Gracious Age,Sanford,Seminole,28.7995,-81.2664,85,0,0,0,1,0,0,1,0,0
Arden Courts (Winter Springs),Arden Courts (Winter Springs),Winter Springs,Seminole,28.6454,-81.2694,60,1,4,0,14,0,0,11,3,0
"Guardian Home Alf, Llc",Guardian Home ALF,Sanford,Seminole,28.7695,-81.2736,15,0,1,0,8,0,0,8,0,0
Anne'S Home Winter Park,Anne'S Home Winter Park,Winter Park,Orange,28.6624,-81.275,6,0,0,0,7,0,0,6,1,0
Anne'S Home Alf Inc,Anne'S Home ALF,Winter Springs,Seminole,28.6624,-81.275,5,1,0,0,20,0,0,17,3,0
Certus Oc Opco Llc,Certus Oc Opco,,Volusia,28.9426,-81.2752,64,0,0,0,1,0,0,1,0,0
"Summerhaven Assisted Living, Llc",Summerhaven Assisted Living,Debary,Volusia,28.903,-81.2802,6,0,1,0,0,0,0,0,0,0
Sancerre At Orange City,Sancerre At Orange City,Orange City,Volusia,28.9215,-81.2829,99,0,0,0,0,0,0,0,0,0
Aiden Springs,Aiden Springs,Winter Park,Orange,28.6218,-81.2839,25,1,0,0,11,0,0,9,2,0
Sanford Manor,Sanford Manor,Sanford,Seminole,28.8046,-81.2863,50,0,0,0,1,0,0,1,0,0
Good Samaritan Society-Florida Lutheran (The),Good Samaritan Society-Florida Lutheran (The),Deland,Volusia,29.0344,-81.288,90,0,1,0,6,0,0,6,0,0
Golden Cove Alf,Golden Cove ALF,Orlando,Orange,28.5339,-81.2895,6,1,0,0,2,0,0,1,0,1
"Maries Manor, Inc",Maries Manor,Winter Park,Orange,28.6103,-81.291,6,0,0,0,0,0,0,0,0,0
American House Orange City,American House Orange City,Orange City,Volusia,28.9206,-81.2953,104,0,0,0,2,0,0,2,0,0
Deland Manor Assisted Living,Deland Manor Assisted Living,Deland,Volusia,29.0254,-81.2985,32,0,0,0,1,0,0,1,0,0
"Riverside Cottages @ The Shores, Llc",Riverside Cottages @ The Shores,Saint Augustine,St. Johns,29.8125,-81.3025,72,0,0,0,1,0,0,1,0,0
Woodland Towers,Woodland Towers,Deland,Volusia,29.0035,-81.3048,190,1,1,0,2,0,0,2,0,0
Groves At Alliance Community (The),Groves At Alliance Community (The),Deland,Volusia,29.0181,-81.3054,54,0,0,0,4,0,0,2,1,1
Deerfoot Manor Assisted Living Facility,Deerfoot Manor Assisted Living Facility,Deland,Volusia,28.992,-81.3087,12,1,0,0,2,0,0,2,0,0
"Elite Garden, Llc",Elite Garden,Saint Cloud,Osceola,28.2482,-81.3133,16,0,0,0,23,0,0,20,2,1
"Royal Gardens Of St Cloud, Llc",Royal Gardens Of St Cloud,Saint Cloud,Osceola,28.2481,-81.3153,33,0,0,0,0,0,0,0,0,0
Provident House,Provident House,Saint Cloud,Osceola,28.2392,-81.3155,6,0,1,0,5,0,0,5,0,0
"Lakeview Manor Assisted Living Facility, Inc",Lakeview Manor Assisted Living Facility,Orlando,Orange,28.547,-81.316,14,1,0,0,7,0,0,4,3,0
Loving Care Living Facility,Loving Care Living Facility,Saint Augustine,St. Johns,29.897,-81.3295,8,0,0,0,3,0,0,3,0,0
English Estates Assisted Living Facility Inc,English Estates Assisted Living Facility,Maitland,Orange,28.6419,-81.3397,6,0,0,0,22,0,0,16,6,0
"Sunny Ridge Retirement & Assisted Living Facility, Inc",Sunny Ridge Retirement & Assisted Living Facility,Deland,Volusia,29.0206,-81.3403,9,0,0,0,1,0,0,1,0,0
"Oak Manor, Inc",Oak Manor,Deland,Volusia,29.0353,-81.3443,11,0,1,0,2,0,0,2,0,0
Pathways To Care Inc,Pathways To Care,Casselberry,Seminole,28.6764,-81.3471,34,1,0,0,21,0,0,17,4,0
Freedom Oaks Assisted Living Inc,Freedom Oaks Assisted Living,De Leon Springs,Volusia,29.1572,-81.3518,10,1,0,0,8,0,0,7,0,1
Sonata Lake Mary,Sonata Lake Mary,Lake Mary,Seminole,28.7687,-81.3554,110,0,0,0,0,0,0,0,0,0
Tomeguin Garden Assisted Living Llc,Tomeguin Garden Assisted Living,Kissimmee,Osceola,28.3278,-81.3558,6,0,0,0,3,0,0,3,0,0
Providence Living At Maitland,Providence Living At Maitland,Maitland,Orange,28.633,-81.3657,58,0,0,0,0,0,0,0,0,0
Rose'S Terrace Inc,Rose'S Terrace,Kissimmee,Osceola,28.2795,-81.3663,11,0,0,0,10,0,0,8,2,0
Cascade Heights,Cascade Heights,,Seminole,28.6962,-81.3668,75,1,0,0,14,0,0,11,3,0
I.P.A Assisted Living Llc Dba Zohra Seniors Care,I.P.A Assisted Living Dba Zohra Seniors Care,Longwood,Seminole,28.7414,-81.3698,6,0,0,0,13,0,0,10,3,0
Prevail Homes Residential Assisted Living Facility,Prevail Homes Residential Assisted Living Facility,Winter Park,Orange,28.5854,-81.3724,8,0,0,0,0,0,0,0,0,0
Orlando Lutheran Towers,Orlando Lutheran Towers,Orlando,Orange,28.5401,-81.3738,109,0,0,0,14,0,0,13,1,0
Divine Manor Assisted Living Facility Inc,Divine Manor Assisted Living Facility,Kissimmee,Osceola,28.2837,-81.3754,6,0,0,0,1,0,0,1,0,0
Grove At Trelago The,Grove At Trelago The,Maitland,Orange,28.632,-81.3775,130,0,0,0,0,0,0,0,0,0
Vivant At Minnehaha,Vivant At Minnehaha,Maitland,Orange,28.6282,-81.3791,6,0,0,0,0,0,0,0,0,0
Vivant At Willa Vista,Vivant At Willa Vista,Maitland,Orange,28.6282,-81.3791,6,0,0,0,3,0,0,3,0,0
Fremont Manor,Fremont Manor,Winter Park,Orange,28.6063,-81.3814,12,0,0,0,14,0,0,12,1,1
Palms At Ponte Vedra Assisted Living & Memory Care (The),Palms At Ponte Vedra Assisted Living & Memory Care (The),Ponte Vedra,St. Johns,30.2281,-81.3919,94,0,0,0,0,0,0,0,0,0
Bridgeport Senior Living - Port Cardiff Llc,Bridgeport Senior Living - Port Cardiff,Altamonte Springs,Seminole,28.6507,-81.4012,6,0,0,0,0,0,0,0,0,0
Bridgeport Senior Living - Port Margate Llc,Bridgeport Senior Living - Port Margate,Altamonte Springs,Seminole,28.6507,-81.4012,6,1,0,0,16,0,0,16,0,0
Bridgeport Senior Living-Port Maitland Llc,Bridgeport Senior Living-Port Maitland,Maitland,Orange,28.6507,-81.4012,6,0,0,0,10,0,0,8,1,1
Bridgeport Senior Living Llc,Bridgeport Senior Living,Orlando,Orange,28.6507,-81.4012,6,1,0,0,12,0,1,10,1,0
Good Ole Days Adult Living Facility Llc,Good Ole Days Adult Living Facility,Orlando,Orange,28.5028,-81.4018,5,0,0,0,1,0,0,1,0,0
"Naval Continuing Care Retirement Foundation, Inc.",Naval Continuing Care Retirement Foundation.,Atlantic Beach,Duval,30.3538,-81.4105,150,0,0,0,0,0,0,0,0,0
Starling At Nocatee,Starling At Nocatee,Ponte Vedra,St. Johns,30.1039,-81.4134,103,0,0,0,1,0,0,0,1,0
Duncan'S Family Care Llc,Duncan'S Family Care,Maitland,Orange,28.6302,-81.4155,6,0,0,0,1,0,0,1,0,0
O.S.J. Family Place Assisted Living Facility,O.S.J. Family Place Assisted Living Facility,Orlando,Orange,28.4829,-81.4163,5,0,0,0,4,0,0,3,0,1
"Anthem Lakes, Llc",Anthem Lakes,Atlantic Beach,Duval,30.3537,-81.4172,117,1,0,0,4,0,0,3,1,0
The Courtyard At Granada,The Courtyard At Granada,Kissimmee,Osceola,28.2272,-81.4189,14,0,0,0,2,0,0,2,0,0
Almost Home Beaches,Almost Home Beaches,Atlantic Beach,Duval,30.325,-81.4207,14,0,0,0,1,0,0,1,0,0
Maranatha Manor Inc,Maranatha Manor,Sebring,Highlands,27.518,-81.4219,20,0,0,0,0,0,0,0,0,0
"All Star Assisted Living, Llc",All Star Assisted Living,Altamonte Springs,Seminole,28.6788,-81.431,13,1,0,0,17,0,0,13,0,4
Harborchase Of Jacksonville,Harborchase Of Jacksonville,Jacksonville,Duval,30.2842,-81.4369,100,0,1,0,1,0,0,0,1,0
Sanctuary By Strive - Bear Lake,Sanctuary By Strive - Bear Lake,Apopka,Seminole,28.649,-81.4379,15,0,0,0,0,0,0,0,0,0
Discovery Commons San Pablo,Discovery Commons San Pablo,Jacksonville,Duval,30.2665,-81.4433,67,0,0,0,1,0,0,1,0,0
Silver Treasures At Ponte Vedra,Silver Treasures At Ponte Vedra,Ponte Vedra,St. Johns,30.0717,-81.444,16,0,0,0,0,0,0,0,0,0
Compassionate Care Sanctuary Llc,Compassionate Care Sanctuary,,Osceola,28.1929,-81.4481,12,0,0,0,7,0,0,7,0,0
At Home Care Assisted Living Facility Inc,At Home Care Assisted Living Facility,Eustis,Lake,28.9602,-81.4494,6,0,0,0,0,0,0,0,0,0
"Osprey Village At Amelia Island, Ltd",Osprey Village At Amelia Island Ltd,Amelia Island,Nassau,30.5699,-81.4512,44,1,0,0,4,0,0,3,0,1
Lakeshore Manor At Lake Jackson Llc,Lakeshore Manor At Lake Jackson,Sebring,Highlands,27.4714,-81.4516,120,2,0,0,0,0,0,0,0,0
Windsor At San Pablo The,Windsor At San Pablo The,Jacksonville,Duval,30.3275,-81.4525,120,0,0,0,7,0,0,7,0,0
The Manor At Lake Jackson - Memory Care Llc,The Manor At Lake Jackson - Memory Care,Sebring,Highlands,27.4714,-81.4526,60,2,0,0,2,0,0,2,0,0
"Inn At Cypress Village, The",Inn At Cypress Village The,Jacksonville,Duval,30.2535,-81.4557,112,0,0,0,12,0,0,12,0,0
Sim Lodge,Sim Lodge,Sebring,Highlands,27.4615,-81.4559,15,0,0,0,3,0,0,2,1,0
The Lakeside At Amelia Island,The Lakeside At Amelia Island,Fernandina Beach,Nassau,30.6225,-81.4604,100,1,0,0,5,0,0,5,0,0
Senior Living At The Greens,Senior Living At The Greens,Saint Augustine,St. Johns,29.9633,-81.4766,124,0,0,0,0,0,0,0,0,0
Westminster St Augustine,Westminster St Augustine,Saint Augustine,St. Johns,29.9867,-81.4795,36,0,0,0,2,0,0,2,0,0
Grand Living At Tamaya,Grand Living At Tamaya,Jacksonville,Duval,30.2896,-81.4846,215,3,0,0,2,0,0,1,1,0
Golden Age Senior Living Care Llc,Golden Age Senior Living Care,Kissimmee,Osceola,28.1615,-81.4921,6,0,3,0,3,0,0,1,0,2
Compassionate Care Homes Llc,Compassionate Care Homes,,Orange,28.455,-81.4979,5,0,0,0,0,0,0,0,0,0
Ella'S Place Assisted Living Inc,Ella'S Place Assisted Living,Kissimmee,Polk,28.0725,-81.5003,4,1,0,0,1,0,0,1,0,0
Harblin Assisted Living Facility,Harblin Assisted Living Facility,Apopka,Orange,28.7093,-81.502,6,0,0,0,0,0,0,0,0,0
Pendry Estate Llc,Pendry Estate,Eustis,Lake,28.8754,-81.5033,8,1,1,0,3,0,0,3,0,0
Camellia At Deerwood,Camellia At Deerwood,,Duval,30.2183,-81.5064,95,0,1,0,0,0,0,0,0,0
Rosecastle At Deerwood,Rosecastle At Deerwood,Jacksonville,Duval,30.2162,-81.508,60,1,0,0,0,0,0,0,0,0
Florida Access Care Inc,Florida Access Care,Sebring,Highlands,27.5292,-81.5134,12,0,0,0,0,0,0,0,0,0
Family Extended Care Of Sebring Inc,Family Extended Care Of Sebring,Sebring,Highlands,27.5332,-81.5156,85,5,0,0,9,0,0,9,0,0
Crescent Lake House,Crescent Lake House,Crescent City,Putnam,29.4597,-81.5229,26,0,0,0,1,0,0,1,0,0
Benton House Of St. Johns,Benton House Of St. Johns,Saint Augustine,St. Johns,30.0551,-81.5309,85,0,0,0,1,0,0,1,0,0
Sunrise Reserve Of Naples Corp,Sunrise Reserve Of Naples Corp,Naples,Collier,26.3267,-81.5391,6,0,1,0,0,0,0,0,0,0
Her Heart Gardens,Her Heart Gardens,Jacksonville,Duval,30.3586,-81.5505,78,0,0,0,7,0,0,7,0,0
Brookdale Southside,Brookdale Southside,Jacksonville,Duval,30.2386,-81.5604,87,0,1,0,0,0,0,0,0,0
Brookdale Southpoint,Brookdale Southpoint,Jacksonville,Duval,30.2575,-81.5826,102,0,1,0,1,0,0,1,0,0
Almost Home,Almost Home,Jacksonville,Duval,30.202,-81.5839,14,0,0,0,1,0,0,1,0,0
Sunrise Of Jacksonville,Sunrise Of Jacksonville,Jacksonville,Duval,30.2481,-81.5851,100,0,0,0,1,0,0,1,0,0
"L'Arche Jacksonville, Inc. Iii",L'Arche Jacksonville. Iii,Jacksonville,Duval,30.3252,-81.5853,7,0,0,0,7,0,0,7,0,0
"L'Arche Jacksonville, Inc Ii",L'Arche Jacksonville Ii,Jacksonville,Duval,30.3252,-81.5853,6,0,0,0,1,0,0,1,0,0
"L'Arche Jacksonville, Inc. I",L'Arche Jacksonville. I,Jacksonville,Duval,30.3252,-81.5853,5,0,0,0,0,0,0,0,0,0
"L'Arche Jacksonville, Inc. Iv",L'Arche Jacksonville. Iv,Jacksonville,Duval,30.3252,-81.5853,4,0,0,0,0,0,0,0,0,0
Gardens At Lakeview (The),Gardens At Lakeview (The),Winter Garden,Orange,28.5754,-81.5869,6,0,0,0,15,0,0,12,3,0
Tambolina Services Community Resident Home Inc,Tambolina Services Community Resident Home,Jacksonville,Duval,30.3378,-81.5889,5,0,1,0,0,0,0,0,0,0
Water'S Edge Of Lake Wales,Water'S Edge Of Lake Wales,Lake Wales,Polk,27.8913,-81.592,60,1,0,0,3,0,0,3,0,0
Arlington Adult Residential Facility Inc,Arlington Adult Residential Facility,Jacksonville,Duval,30.3267,-81.5924,100,2,0,0,2,0,0,2,0,0
Arlington Haven Alf,Arlington Haven ALF,Jacksonville,Duval,30.3334,-81.594,26,0,0,0,5,0,0,5,0,0
Canopy At Duval Station The,Canopy At Duval Station The,,Duval,30.4846,-81.6012,72,0,0,0,0,0,0,0,0,0
Las Villas Alf Llc,Las Villas ALF,Lehigh Acres,Lee,26.5496,-81.6019,5,0,0,0,0,0,0,0,0,0
Brookdale Mandarin Central,Brookdale Mandarin Central,Jacksonville,Duval,30.1784,-81.6046,60,0,0,0,1,0,0,1,0,0
Brookdale Crown Point,Brookdale Crown Point,Jacksonville,Duval,30.194,-81.6119,38,0,0,0,0,0,0,0,0,0
Neulife Rehabilitation Of Florida,Neulife Rehabilitation Of Florida,Mount Dora,Lake,28.7906,-81.6162,16,0,0,0,2,0,0,2,0,0
Hamptons Luxury Villas Inc,Hamptons Luxury Villas,Jacksonville,Duval,30.1825,-81.6197,6,0,0,0,0,0,0,0,0,0
"Fannie E. Taylor Home For The Aged-Taylor Manor, Inc.",Fannie E. Taylor Home For The Aged-Taylor Manor.,Jacksonville,Duval,30.2567,-81.6207,90,0,0,0,0,0,0,0,0,0
San Jose Gardens Alzheimer'S Special Care Center,San Jose Gardens Alzheimer'S Special Care Center,Jacksonville,Duval,30.2549,-81.6223,70,0,0,0,3,0,0,3,0,0
Westminster Woods On Julington Creek,Westminster Woods On Julington Creek,Jacksonville,St. Johns,30.1263,-81.6239,80,0,1,0,3,0,0,3,0,0
Harborchase Of Mandarin,Harborchase Of Mandarin,Jacksonville,Duval,30.1448,-81.6336,77,0,1,0,8,0,0,5,2,1
Pleasantville Alf,Pleasantville ALF,Mount Dora,Lake,28.7931,-81.6389,14,0,0,0,0,0,0,0,0,0
Kiva Of Mount Dora,Kiva Of Mount Dora,Mount Dora,Lake,28.8045,-81.6403,32,2,0,0,2,0,0,2,0,0
The Legacy At St Johns,The Legacy At St Johns,St. Johns,St. Johns,30.0747,-81.6471,82,0,0,0,1,0,0,1,0,0
Bridgewater At Waterman Village (The),Bridgewater At Waterman Village (The),Mount Dora,Lake,28.8226,-81.6487,100,0,0,0,1,0,0,1,0,0
Springwater At Waterman Village,Springwater At Waterman Village,Mount Dora,Lake,28.8226,-81.6487,24,0,0,0,0,0,0,0,0,0
Lakeview Terrace Assisted Living Facility,Lakeview Terrace Assisted Living Facility,Altoona,Lake,28.9647,-81.6558,65,0,0,0,6,0,0,6,0,0
Five Oaks Rest Home,Five Oaks Rest Home,Welaka,Putnam,29.4875,-81.6644,27,0,0,0,1,0,0,1,0,0
Henderson House Alf,Henderson House ALF,Eustis,Lake,28.8531,-81.6759,44,0,0,0,0,0,0,0,0,0
Valiz'S Place,Valiz'S Place,Jacksonville,Duval,30.3591,-81.6761,6,0,0,0,11,0,0,10,1,0
Vintage Care Of Palatka,Vintage Care Of Palatka,Palatka,Putnam,29.6467,-81.6784,82,0,0,0,1,0,0,1,0,0
"Infinity At Lake Eustis, Llc",Infinity At Lake Eustis,Eustis,Lake,28.8521,-81.6813,6,0,0,0,0,0,0,0,0,0
Eustis Senior Care,Eustis Senior Care,Eustis,Lake,28.8552,-81.6818,30,0,0,0,1,0,0,1,0,0
Amira Choice Naples,Amira Choice Naples,Naples,Collier,26.2756,-81.6831,142,1,0,0,2,0,0,2,0,0
Brookdale Winter Haven Al,Brookdale Winter Haven Al,Winter Haven,Polk,27.9844,-81.6863,60,0,0,0,0,0,0,0,0,0
Better Days Senior Living,Better Days Senior Living,Jacksonville,Duval,30.319,-81.6892,10,0,0,0,5,0,0,5,0,0
Her Heart Village,Her Heart Village,Jacksonville,Duval,30.3126,-81.6902,80,2,1,0,2,0,0,2,0,0
Kiva Of Palatka,Kiva Of Palatka,Palatka,Putnam,29.6471,-81.6932,40,2,0,0,3,0,0,2,0,1
"Country Comfort Care, Inc",Country Comfort Care,Clermont,Lake,28.617,-81.7007,6,0,2,0,1,0,1,0,0,0
Spring Gardens Of Fleming Island Llc,Spring Gardens Of Fleming Island,Fleming Island,Clay,30.0664,-81.7014,8,0,0,0,0,0,0,0,0,0
"Some Place Like Home, Inc.",Some Place Like Home.,Jacksonville,Duval,30.2667,-81.7016,6,0,0,0,0,0,0,0,0,0
"Some Place Like Home, Inc. #2",Some Place Like Home. #2,Jacksonville,Duval,30.2667,-81.7016,6,0,0,0,1,0,0,1,0,0
"Some Place Like Home, Inc. #3",Some Place Like Home. #3,Jacksonville,Duval,30.2667,-81.7016,6,0,0,0,4,0,0,4,0,0
Plymouth Home For Adults Inc,Plymouth Home For Adults,Jacksonville,Duval,30.3108,-81.7095,57,0,1,0,2,0,0,2,0,0
"Ingleside Alf Home, Llc",Ingleside ALF Home,Jacksonville,Duval,30.302,-81.7096,18,0,0,0,0,0,0,0,0,0
"Pineapple House At Sapphire Lakes, The",Pineapple House At Sapphire Lakes The,Naples,Collier,26.155,-81.7097,140,1,0,0,0,0,0,0,0,0
Porter'S Adult Care Inc,Porter'S Adult Care,Jacksonville,Duval,30.3189,-81.7099,6,0,0,0,0,0,0,0,0,0
Putnam Caregivers Llc,Putnam Caregivers,Palatka,Putnam,29.6221,-81.7104,6,0,0,0,2,0,0,2,0,0
Osprey Lodge,Osprey Lodge,Tavares,Lake,28.8168,-81.7139,165,0,0,0,1,0,0,1,0,0
Arden Courts (Lely Palms),Arden Courts (Lely Palms),Naples,Collier,26.1083,-81.7149,56,4,6,0,10,0,0,10,0,0
Right Time Right Place Limited Liability Company,Right Time Right Place Limited Liability Company,Jacksonville,Duval,30.3773,-81.7159,14,0,0,0,1,0,0,0,1,0
Seagrass Village Of Fleming Island,Seagrass Village Of Fleming Island,Fleming Island,Clay,30.0993,-81.7174,100,2,3,0,4,0,0,3,1,0
Gardens At Tavares Llc (The),Gardens At Tavares (The),Tavares,Lake,28.8038,-81.7186,36,0,0,0,1,0,0,1,0,0
Brookdale Avondale,Brookdale Avondale,Jacksonville,Duval,30.2911,-81.7194,60,1,1,0,1,0,0,1,0,0
Brookdale Orange Park,Brookdale Orange Park,Orange Park,Clay,30.1644,-81.7206,102,0,1,0,2,0,0,2,0,0
Palagio Senior Living,Palagio Senior Living,Orange Park,Duval,30.166,-81.7274,120,0,0,0,0,0,0,0,0,0
Villa At Terracina Grand,Villa At Terracina Grand,Naples,Collier,26.14,-81.7278,60,0,0,0,4,0,0,3,1,0
Ortega Gardens Alzheimer'S Special Care Center,Ortega Gardens Alzheimer'S Special Care Center,Jacksonville,Duval,30.2466,-81.7324,60,1,0,0,7,0,0,2,1,4
Lake Howard Heights,Lake Howard Heights,Winter Haven,Polk,28.0281,-81.7348,65,1,4,0,8,0,0,5,3,0
Tuscany Villa Of Naples,Tuscany Villa Of Naples,Naples,Collier,26.0967,-81.7371,150,2,2,0,4,0,0,4,0,0
Royal Vista Assisted Living Inc,Royal Vista Assisted Living,Lehigh Acres,Lee,26.6053,-81.7377,12,0,0,0,3,0,0,3,0,0
Caring Hearts Helping Hands Assisted Living,Caring Hearts Helping Hands Assisted Living,,Lake,28.5591,-81.7384,9,0,0,0,0,0,0,0,0,0
Silver Treasures At Fleming Island,Silver Treasures At Fleming Island,Middleburg,Clay,30.167,-81.7421,33,0,0,0,0,0,0,0,0,0
"Silver Treasures At Orange Park, Llc",Silver Treasures At Orange Park,Orange Park,Clay,30.167,-81.7421,32,0,0,0,1,0,0,1,0,0
"Miller'S Adult Home Care, Llc",Miller'S Adult Home Care,Orange Park,Clay,30.1704,-81.7423,6,0,0,0,0,0,0,0,0,0
Barrington Terrace Of Naples,Barrington Terrace Of Naples,Naples,Collier,26.105,-81.7446,135,1,0,0,6,0,0,5,1,0
"Minneola Place, A Homebridge Community Assisted Living",Minneola Place A Homebridge Community Assisted Living,Minneola,Lake,28.5771,-81.7516,32,1,2,0,3,0,0,3,0,0
Noble House Senior Living,Noble House Senior Living,Jacksonville,Duval,30.2827,-81.7517,104,3,0,0,3,0,0,3,0,0
The Inn At Aston Gardens At Pelican Marsh,The Inn At Aston Gardens At Pelican Marsh,Naples,Collier,26.2687,-81.7561,120,0,0,0,2,0,0,2,0,0
Poinciana Gardens,Poinciana Gardens,Key West,Monroe,24.5654,-81.759,58,1,0,0,11,0,0,9,2,0
The Cove At Tavares Village,The Cove At Tavares Village,Tavares,Lake,28.7881,-81.7625,94,0,0,0,0,0,0,0,0,0
New Horizon Share Home,New Horizon Share Home,Winter Haven,Polk,28.0036,-81.7663,60,1,0,0,2,0,0,1,0,1
The Fairways At Naples,The Fairways At Naples,Naples,Collier,26.1832,-81.7676,60,1,0,0,1,0,0,1,0,0
Moorings Park Oakstone At Grey Oaks,Moorings Park Oakstone At Grey Oaks,Naples,Collier,26.175,-81.7679,50,0,0,0,1,0,0,0,1,0
Beach House Naples Assisted Living & Memory Care,Beach House Naples Assisted Living & Memory Care,Naples,Collier,26.1442,-81.768,140,4,2,0,7,0,0,7,0,0
Peterson Assisted Living Facility,Peterson Assisted Living Facility,Jacksonville,Duval,30.2645,-81.7689,29,0,0,0,4,0,0,3,1,0
Tlc Family Care Home Inc,Tlc Family Care Home,Leesburg,Lake,28.8449,-81.7712,6,0,1,0,3,0,0,3,0,0
Carlisle Naples,Carlisle Naples,,Collier,26.2321,-81.7713,125,1,0,0,1,0,0,1,0,0
"Better Days Senior Living Orange Park, Llc",Better Days Senior Living Orange Park,Orange Park,Clay,30.1264,-81.7736,16,0,0,0,0,0,0,0,0,0
"Wright Manor, Llc",Wright Manor,Orange Park,Clay,30.1482,-81.776,8,0,0,0,0,0,0,0,0,0
Brookdale North Naples,Brookdale North Naples,Naples,Collier,26.2709,-81.7845,150,0,2,0,4,0,0,3,0,1
Naples Care Inc,Naples Care,Naples,Collier,26.2702,-81.7854,6,1,0,0,13,0,1,12,0,0
Orchid Terrace,Orchid Terrace,Naples,Collier,26.2053,-81.7907,80,0,0,0,2,0,0,0,2,0
Discovery Village At The Forum,Discovery Village At The Forum,Ft. Myers,Lee,26.6296,-81.792,150,2,0,0,12,0,0,12,0,0
Renaissance At The Terraces,Renaissance At The Terraces,Bonita Springs,Lee,26.3548,-81.806,78,0,0,0,9,0,0,8,1,0
Bentley Village,Bentley Village,Naples,Collier,26.3064,-81.8064,132,0,1,0,3,0,0,3,0,0
Cove At The Marbella The,Cove At The Marbella The,Naples,Collier,26.2386,-81.8135,14,0,0,0,0,0,0,0,0,0
"Kiva At Canterbury, Llc",Kiva At Canterbury,Bonita Springs,Collier,26.324,-81.8198,38,1,0,0,0,0,0,0,0,0
Savannah Court Of Bartow,Savannah Court Of Bartow,Bartow,Polk,27.8994,-81.8202,36,1,0,0,1,0,0,1,0,0
Canterfield Of Clay County,Canterfield Of Clay County,,Clay,30.114,-81.8216,100,1,0,0,2,0,0,2,0,0
Arbor Glen At Arbor Trace,Arbor Glen At Arbor Trace,Naples,Collier,26.3023,-81.8227,32,0,0,0,5,0,0,4,1,0
Brookdale Fort Myers The Colony,Brookdale Fort Myers The Colony,Fort Myers,Lee,26.5436,-81.8274,38,0,0,0,9,0,0,7,2,0
