nursing_home,nursing_home_label,city,region,county,latitude,longitude,overall_inspection,quality_of_care,quality_of_life,administration,nutrition_and_hydration,restraints_and_abuse,pressure_ulcers,decline,dignity
"Rohr Home, The",Rohr Home,Bartow,Region 6,Polk,27.8847721,-81.8219128,_____,_____,_____,_____,_____,_____,_____,_____,_____
Rosewood Health And Rehabilitation Center,Rosewood Health And Rehabilitation Center,Orlando,Region 7,Orange,28.607286,-81.42754,_____,_____,_____,_____,_____,_____,_____,_____,_____
Rosewood Healthcare And Rehabilitation Center,Rosewood Healthcare And Rehabilitation Center,Pensacola,Region 1,Escambia,30.4435428,-87.2326754,_____,_____,_____,_____,_____,_____,_____,_____,_____
Royal Care Of Avon Park,Royal Care Of Avon Park,Avon Park,Region 6,Highlands,27.6281557,-81.5170873,_____,_____,_____,_____,_____,_____,_____,_____,_____
Royal Oak Nursing Center,Royal Oak Nursing Center,Dade City,Region 5,Pasco,28.3514804,-82.1993331,_____,_____,_____,_____,_____,_____,_____,_____,_____
Royal Palm Beach Health And Rehabilitation Center,Royal Palm Beach Health And Rehabilitation Center,Royal Palm Beach,Region 9,Palm Beach,26.6974932,-80.2106063,_____,_____,_____,_____,_____,_____,_____,_____,_____
Ruleme Center,Ruleme Center,Eustis,Region 3,Lake,28.825939,-81.690335,_____,_____,_____,_____,_____,_____,_____,_____,_____
Sabal Palms Health & Rehabilitation,Sabal Palms Health & Rehabilitation,Largo,Region 5,Pinellas,27.9217737,-82.7691185,_____,_____,_____,_____,_____,_____,_____,_____,_____
Sand Key Health And Rehabilitation Center,Sand Key Health And Rehabilitation Center,Clearwater,Region 5,Pinellas,27.730881,-82.639015,_____,_____,_____,_____,_____,_____,_____,_____,_____
Sandy Ridge Center For Rehabilitation And Healing,Sandy Ridge Center For Rehabilitation And Healing,Milton,Region 1,Santa Rosa,30.6301571,-87.0636334,_____,_____,_____,_____,_____,_____,_____,_____,_____
Santa Rosa Center For Rehabilitation And Healing,Santa Rosa Center For Rehabilitation And Healing,Milton,Region 1,Santa Rosa,30.6296162,-87.0368919,_____,_____,_____,_____,_____,_____,_____,_____,_____
Sarasota Memorial Nursing And Rehabilitation Center,Sarasota Memorial Nursing And Rehabilitation Center,Sarasota,Region 8,Sarasota,27.2638533,-82.4574202,_____,_____,_____,_____,_____,_____,_____,_____,_____
Sarasota Point Rehabilitation Center,Sarasota Point Rehabilitation Center,Sarasota,Region 8,Sarasota,27.3257538,-82.5165331,_____,_____,_____,_____,_____,_____,_____,_____,_____
Savannah Cove,Savannah Cove,Maitland,Region 7,Orange,28.6314438,-81.3790081,_____,_____,_____,_____,_____,_____,_____,_____,_____
Seaside Health And Rehabilitation Center,Seaside Health And Rehabilitation Center,Daytona Beach,Region 4,Volusia,29.1892835,-81.0130486,_____,_____,_____,_____,_____,_____,_____,_____,_____
Seven Hills Health And Rehabilitation Center,Seven Hills Health And Rehabilitation Center,Tallahassee,Region 2,Leon,30.4753089,-84.2254374,_____,_____,_____,_____,_____,_____,_____,_____,_____
Shoal Creek Rehabilitation Center,Shoal Creek Rehabilitation Center,Crestview,Region 1,Okaloosa,30.733517,-86.56249,_____,_____,_____,_____,_____,_____,_____,_____,_____
Shore Acres Care Center And Rehab,Shore Acres Care Center And Rehab,Saint Petersburg,Region 5,Pinellas,27.8133502,-82.6024931,_____,_____,_____,_____,_____,_____,_____,_____,_____
Siesta Key Health And Rehabilitation Center,Siesta Key Health And Rehabilitation Center,Sarasota,Region 8,Sarasota,27.3754687,-82.5341965,_____,_____,_____,_____,_____,_____,_____,_____,_____
Silvercrest Health And Rehabilitation Center,Silvercrest Health And Rehabilitation Center,Crestview,Region 1,Okaloosa,30.7303583,-86.565033,_____,_____,_____,_____,_____,_____,_____,_____,_____
Solaris Healthcare Coconut Creek,Solaris Healthcare Coconut Creek,Coconut Creek,Region 10,Broward,26.2747609,-80.1800958,_____,_____,_____,_____,_____,_____,_____,_____,_____
Solaris Healthcare Daytona,Solaris Healthcare Daytona,Daytona Beach,Region 4,Volusia,29.2054328,-81.0634613,_____,_____,_____,_____,_____,_____,_____,_____,_____
Solaris Healthcare Imperial,Solaris Healthcare Imperial,Naples,Region 8,Collier,26.2889509,-81.800146,_____,_____,_____,_____,_____,_____,_____,_____,_____
Solaris Healthcare Lake City,Solaris Healthcare Lake City,Lake City,Region 3,Columbia,30.182354,-82.650458,_____,_____,_____,_____,_____,_____,_____,_____,_____
Solaris Healthcare Merritt Island,Solaris Healthcare Merritt Island,Merritt Island,Region 7,Brevard,28.3899377,-80.7082025,_____,_____,_____,_____,_____,_____,_____,_____,_____
Solaris Healthcare Osceola,Solaris Healthcare Osceola,Saint Cloud,Region 7,Osceola,28.227569,-81.3150259,_____,_____,_____,_____,_____,_____,_____,_____,_____
Solaris Healthcare Pensacola,Solaris Healthcare Pensacola,Pensacola,Region 1,Escambia,30.516698,-87.221773,_____,_____,_____,_____,_____,_____,_____,_____,_____
Solaris Healthcare Plant City,Solaris Healthcare Plant City,Plant City,Region 6,Hillsborough,28.0308141,-82.095759,_____,_____,_____,_____,_____,_____,_____,_____,_____
Solaris Healthcare Windermere,Solaris Healthcare Windermere,Orlando,Region 7,Orange,28.5004459,-81.4434006,_____,_____,_____,_____,_____,_____,_____,_____,_____
Solaris Senior Living North Naples,Solaris Senior Living North Naples,Naples,Region 8,Collier,26.2716734,-81.7805028,_____,_____,_____,_____,_____,_____,_____,_____,_____
South Campus Care Center And Rehab,South Campus Care Center And Rehab,Leesburg,Region 3,Lake,28.8058186,-81.8674243,_____,_____,_____,_____,_____,_____,_____,_____,_____
South Dade Nursing And Rehabilitation Center,South Dade Nursing And Rehabilitation Center,Miami,Region 11,Miami-Dade,25.6076663,-80.3470212,_____,_____,_____,_____,_____,_____,_____,_____,_____
South Heritage Health & Rehabilitation Center,South Heritage Health & Rehabilitation Center,Saint Petersburg,Region 5,Pinellas,27.7481951,-82.6429939,_____,_____,_____,_____,_____,_____,_____,_____,_____
Southern Pines Nursing Center,Southern Pines Nursing Center,New Port Richey,Region 5,Pasco,28.2484938,-82.7067665,_____,_____,_____,_____,_____,_____,_____,_____,_____
Specialty Health And Rehabilitation Center,Specialty Health And Rehabilitation Center,Pensacola,Region 1,Escambia,30.48969,-87.3045255,_____,_____,_____,_____,_____,_____,_____,_____,_____
Spring Hill Health And Rehabilitation Center,Spring Hill Health And Rehabilitation Center,Brooksville,Region 3,Hernando,28.532927,-82.52496,_____,_____,_____,_____,_____,_____,_____,_____,_____
Spring Lake Rehabilitation Center,Spring Lake Rehabilitation Center,Winter Haven,Region 6,Polk,28.0374257,-81.7323578,_____,_____,_____,_____,_____,_____,_____,_____,_____
Springs At Boca Ciega Bay,Springs At Boca Ciega Bay,South Pasadena,Region 5,Pinellas,27.7574633,-82.7395969,_____,_____,_____,_____,_____,_____,_____,_____,_____
Springs At Lake Pointe Woods,Springs At Lake Pointe Woods,Sarasota,Region 8,Sarasota,27.239587,-82.498804,_____,_____,_____,_____,_____,_____,_____,_____,_____
Springtree Rehabilitation & Health Care Center,Springtree Rehabilitation & Health Care Center,Sunrise,Region 10,Broward,26.1708193,-80.2806127,_____,_____,_____,_____,_____,_____,_____,_____,_____
St Andrews Bay Skilled Nursing And Rehabilitation Center,St Andrews Bay Skilled Nursing And Rehabilitation Center,Panama City,Region 2,Bay,30.1859249,-85.6613022,_____,_____,_____,_____,_____,_____,_____,_____,_____
"St Annes Nursing Center, St Annes Residence Inc","St Annes Nursing Center, St Annes Residence Inc",Miami,Region 11,Miami-Dade,25.5895568,-80.3840606,_____,_____,_____,_____,_____,_____,_____,_____,_____
St Augustine Health And Rehabilitation Center,St Augustine Health And Rehabilitation Center,Saint Augustine,Region 4,St. Johns,29.8734415,-81.3309029,_____,_____,_____,_____,_____,_____,_____,_____,_____
St James Health And Rehabilitation Center,St James Health And Rehabilitation Center,Carrabelle,Region 2,Franklin,29.9040014,-84.5675673,_____,_____,_____,_____,_____,_____,_____,_____,_____
St. Amaro Post-Acute And Rehabilitation Center,St. Amaro Post-Acute And Rehabilitation Center,Wauchula,Region 6,Hardee,27.5344559,-81.8141953,_____,_____,_____,_____,_____,_____,_____,_____,_____
St. Andrew Post-Acute And Rehabilitation Center,St. Andrew Post-Acute And Rehabilitation Center,Tampa,Region 6,Hillsborough,28.109484,-82.503829,_____,_____,_____,_____,_____,_____,_____,_____,_____
St. Camillus Post-Acute And Rehabilitation Center,St. Camillus Post-Acute And Rehabilitation Center,Sebring,Region 6,Highlands,27.4850997,-81.436697,_____,_____,_____,_____,_____,_____,_____,_____,_____
St. John'S Nursing Center,St. John'S Nursing Center,Lauderdale Lakes,Region 10,Broward,26.164589,-80.1931742,_____,_____,_____,_____,_____,_____,_____,_____,_____
"St. Mark Village, Inc.","St. Mark Village, Inc.",Palm Harbor,Region 5,Pinellas,28.0796409,-82.7362484,_____,_____,_____,_____,_____,_____,_____,_____,_____
Stuart Rehabilitation And Healthcare,Stuart Rehabilitation And Healthcare,Stuart,Region 9,Martin,27.1857133,-80.2371726,_____,_____,_____,_____,_____,_____,_____,_____,_____
Sun Terrace Health Care Center,Sun Terrace Health Care Center,Sun City Center,Region 6,Hillsborough,27.7101662,-82.3557201,_____,_____,_____,_____,_____,_____,_____,_____,_____
Sunnyside Nursing Home,Sunnyside Nursing Home,Sarasota,Region 8,Sarasota,27.3342994,-82.5250037,_____,_____,_____,_____,_____,_____,_____,_____,_____
Sunrise Health And Rehabilitation Center,Sunrise Health And Rehabilitation Center,Sunrise,Region 10,Broward,26.1850159,-80.2832418,_____,_____,_____,_____,_____,_____,_____,_____,_____
Sunrise Point Health And Rehabilitation Center,Sunrise Point Health And Rehabilitation Center,Rockledge,Region 7,Brevard,28.3256659,-80.735503,_____,_____,_____,_____,_____,_____,_____,_____,_____
Surrey Place Healthcare And Rehabilitation,Surrey Place Healthcare And Rehabilitation,Bradenton,Region 6,Manatee,27.4801385,-82.6175272,_____,_____,_____,_____,_____,_____,_____,_____,_____
Surrey Place Nursing Center,Surrey Place Nursing Center,Live Oak,Region 3,Suwannee,30.290603,-82.971939,_____,_____,_____,_____,_____,_____,_____,_____,_____
Susanna Wesley Health Center,Susanna Wesley Health Center,Hialeah,Region 11,Miami-Dade,25.8702699,-80.3186433,_____,_____,_____,_____,_____,_____,_____,_____,_____
Suwannee Valley Nursing Center,Suwannee Valley Nursing Center,Jasper,Region 3,Hamilton,30.5218588,-82.9597161,_____,_____,_____,_____,_____,_____,_____,_____,_____
Tallahassee Living Center,Tallahassee Living Center,Tallahassee,Region 2,Leon,30.458658,-84.24194,_____,_____,_____,_____,_____,_____,_____,_____,_____
Tampa Lakes Health And Rehabilitation Center,Tampa Lakes Health And Rehabilitation Center,Lutz,Region 6,Hillsborough,28.0990007,-82.4544373,_____,_____,_____,_____,_____,_____,_____,_____,_____
Tarpon Bayou Center,Tarpon Bayou Center,Tarpon Springs,Region 5,Pinellas,28.1517573,-82.767864,_____,_____,_____,_____,_____,_____,_____,_____,_____
Taylor Care Center,Taylor Care Center,Jacksonville,Region 4,Duval,30.257796,-81.621074,_____,_____,_____,_____,_____,_____,_____,_____,_____
Terrace Healthcare & Rehabilitation Center,Terrace Healthcare & Rehabilitation Center,Gainesville,Region 3,Alachua,29.6293977,-82.4192772,_____,_____,_____,_____,_____,_____,_____,_____,_____
Terrace Of Delray Beach Nursing And Rehabilitation Center The,Terrace Of Delray Beach Nursing And Rehabilitation Center The,Delray Beach,Region 9,Palm Beach,26.4384789,-80.1294861,_____,_____,_____,_____,_____,_____,_____,_____,_____
"Terrace Of Hialeah, The",Terrace Of Hialeah,Hialeah,Region 11,Miami-Dade,25.8468202,-80.2856765,_____,_____,_____,_____,_____,_____,_____,_____,_____
"Terrace Of Jacksonville, The",Terrace Of Jacksonville,Jacksonville,Region 4,Duval,30.181845,-81.608443,_____,_____,_____,_____,_____,_____,_____,_____,_____
"Terrace Of Kissimmee, The",Terrace Of Kissimmee,Kissimmee,Region 7,Osceola,28.314178,-81.4075086,_____,_____,_____,_____,_____,_____,_____,_____,_____
Terraces Of Lake Worth Care Center,Terraces Of Lake Worth Care Center,Lake Worth,Region 9,Palm Beach,26.608389,-80.0657368,_____,_____,_____,_____,_____,_____,_____,_____,_____
The Bristol Care Center,The Bristol Care Center,Tampa,Region 6,Hillsborough,28.0695678,-82.4395266,_____,_____,_____,_____,_____,_____,_____,_____,_____
The Cedar At Mease Life,The Cedar At Mease Life,Dunedin,Region 5,Pinellas,28.014905,-82.7807914,_____,_____,_____,_____,_____,_____,_____,_____,_____
The Edgewater At Waterman Village,The Edgewater At Waterman Village,Mount Dora,Region 3,Lake,28.8225154,-81.6468658,_____,_____,_____,_____,_____,_____,_____,_____,_____
The Floridean Nursing And Rehabilitation Center,The Floridean Nursing And Rehabilitation Center,Miami,Region 11,Miami-Dade,25.772528,-80.248405,_____,_____,_____,_____,_____,_____,_____,_____,_____
The Lodge Health And Rehabilitation Center,The Lodge Health And Rehabilitation Center,Ocala,Region 3,Marion,29.1727091,-82.1303763,_____,_____,_____,_____,_____,_____,_____,_____,_____
The Palms Nursing And Rehab At Orlando,The Palms Nursing And Rehab At Orlando,Orlando,Region 7,Orange,28.5215851,-81.3801606,_____,_____,_____,_____,_____,_____,_____,_____,_____
The Preserve,The Preserve,Fort Myers,Region 8,Lee,26.5306491,-81.8483963,_____,_____,_____,_____,_____,_____,_____,_____,_____
The Terrace At Courtenay Springs,The Terrace At Courtenay Springs,Merritt Island,Region 7,Brevard,28.3383488,-80.6888053,_____,_____,_____,_____,_____,_____,_____,_____,_____
Tierra Pines Center,Tierra Pines Center,Largo,Region 5,Pinellas,27.8929319,-82.739948,_____,_____,_____,_____,_____,_____,_____,_____,_____
Tiffany Hall Nursing And Rehab Center,Tiffany Hall Nursing And Rehab Center,Port Saint Lucie,Region 9,St. Lucie,27.2829462,-80.2938399,_____,_____,_____,_____,_____,_____,_____,_____,_____
Timberridge Nursing & Rehabilitation Center,Timberridge Nursing & Rehabilitation Center,Ocala,Region 3,Marion,29.0612508,-82.2814971,_____,_____,_____,_____,_____,_____,_____,_____,_____
Tri-County Nursing Home,Tri-County Nursing Home,Trenton,Region 3,Gilchrist,29.6065101,-82.9247017,_____,_____,_____,_____,_____,_____,_____,_____,_____
Trinity Regional Rehab Center,Trinity Regional Rehab Center,Trinity,Region 5,Pasco,28.1904675,-82.6811341,_____,_____,_____,_____,_____,_____,_____,_____,_____
Tuskawilla Nursing And Rehab Center,Tuskawilla Nursing And Rehab Center,Winter Springs,Region 7,Seminole,28.6446377,-81.2731432,_____,_____,_____,_____,_____,_____,_____,_____,_____
University Crossing,University Crossing,Jacksonville,Region 4,Duval,30.2907648,-81.5986952,_____,_____,_____,_____,_____,_____,_____,_____,_____
University Hills Health And Rehabilitation,University Hills Health And Rehabilitation,Pensacola,Region 1,Escambia,30.54044,-87.21687,_____,_____,_____,_____,_____,_____,_____,_____,_____
Venice Health And Rehabilitation Center,Venice Health And Rehabilitation Center,Venice,Region 8,Sarasota,27.1065115,-82.4180045,_____,_____,_____,_____,_____,_____,_____,_____,_____
Vero Beach Care Center,Vero Beach Care Center,Vero Beach,Region 9,Indian River,27.6610545,-80.3986565,_____,_____,_____,_____,_____,_____,_____,_____,_____
Vi At Aventura,Vi At Aventura,Aventura,Region 11,Miami-Dade,25.9546261,-80.1379189,_____,_____,_____,_____,_____,_____,_____,_____,_____
Vi At Lakeside Village,Vi At Lakeside Village,Lantana,Region 9,Palm Beach,26.5814302,-80.0849095,_____,_____,_____,_____,_____,_____,_____,_____,_____
Vicar'S Landing Nursing Home,Vicar'S Landing Nursing Home,Ponte Vedra Beach,Region 4,St. Johns,30.2038515,-81.3872824,_____,_____,_____,_____,_____,_____,_____,_____,_____
Viera Del Mar Health And Rehabilitation Center,Viera Del Mar Health And Rehabilitation Center,Viera,Region 7,Brevard,28.225579,-80.7303574,_____,_____,_____,_____,_____,_____,_____,_____,_____
Viera Healthcare And Rehabilitation Center,Viera Healthcare And Rehabilitation Center,Melbourne,Region 7,Brevard,28.238965,-80.708241,_____,_____,_____,_____,_____,_____,_____,_____,_____
Villa Maria Nursing Center,Villa Maria Nursing Center,North Miami,Region 11,Miami-Dade,25.8899154,-80.1776886,_____,_____,_____,_____,_____,_____,_____,_____,_____
Villa Maria West Skilled Nursing Facility,Villa Maria West Skilled Nursing Facility,Hialeah Gardens,Region 11,Miami-Dade,25.8837561,-80.3429608,_____,_____,_____,_____,_____,_____,_____,_____,_____
Village On The Green,Village On The Green,Longwood,Region 7,Seminole,28.6925948,-81.4065093,_____,_____,_____,_____,_____,_____,_____,_____,_____
Village On The Isle,Village On The Isle,Venice,Region 8,Sarasota,27.0835632,-82.4380252,_____,_____,_____,_____,_____,_____,_____,_____,_____
"Villages Rehabilitation And Nursing Center, The",Villages Rehabilitation And Nursing Center,Lady Lake,Region 3,Lake,28.9137,-81.9418623,_____,_____,_____,_____,_____,_____,_____,_____,_____
Vivo Healthcare Normandy,Vivo Healthcare Normandy,Jacksonville,Region 4,Duval,30.2905477,-81.7909127,_____,_____,_____,_____,_____,_____,_____,_____,_____
W Frank Wells Nursing Home,W Frank Wells Nursing Home,Macclenny,Region 4,Baker,30.2865608,-82.1182183,_____,_____,_____,_____,_____,_____,_____,_____,_____
Washington Rehabilitation And Nursing Center,Washington Rehabilitation And Nursing Center,Chipley,Region 2,Washington,30.7668083,-85.5438178,_____,_____,_____,_____,_____,_____,_____,_____,_____
Water'S Edge Health And Rehabilitation,Water'S Edge Health And Rehabilitation,Palm City,Region 9,Martin,27.1878181,-80.2746286,_____,_____,_____,_____,_____,_____,_____,_____,_____
"Waterford, The",Waterford,Juno Beach,Region 9,Palm Beach,26.85753,-80.05873,_____,_____,_____,_____,_____,_____,_____,_____,_____
Wedgewood Healthcare Center,Wedgewood Healthcare Center,Lakeland,Region 6,Polk,28.100277,-81.97101,_____,_____,_____,_____,_____,_____,_____,_____,_____
West Altamonte Nursing & Rehabilitation Center,West Altamonte Nursing & Rehabilitation Center,Altamonte Springs,Region 7,Seminole,28.6590751,-81.4262322,_____,_____,_____,_____,_____,_____,_____,_____,_____
West Broward Rehabilitation And Healthcare,West Broward Rehabilitation And Healthcare,Plantation,Region 10,Broward,26.1212095,-80.2510046,_____,_____,_____,_____,_____,_____,_____,_____,_____
West Gables Health Care Center,West Gables Health Care Center,Miami,Region 11,Miami-Dade,25.7469755,-80.3166972,_____,_____,_____,_____,_____,_____,_____,_____,_____
West Melbourne Health & Rehabilitation Center,West Melbourne Health & Rehabilitation Center,West Melbourne,Region 7,Brevard,28.0775991,-80.6566777,_____,_____,_____,_____,_____,_____,_____,_____,_____
West Orange Center For Nursing And Healing,West Orange Center For Nursing And Healing,Ocoee,Region 7,Orange,28.5491013,-81.5405823,_____,_____,_____,_____,_____,_____,_____,_____,_____
Westchester Gardens Health & Rehabilitation,Westchester Gardens Health & Rehabilitation,Clearwater,Region 5,Pinellas,28.0415306,-82.7070747,_____,_____,_____,_____,_____,_____,_____,_____,_____
Westminster Baldwin Park,Westminster Baldwin Park,Orlando,Region 7,Orange,28.5783405,-81.3206176,_____,_____,_____,_____,_____,_____,_____,_____,_____
Westminster Oaks,Westminster Oaks,Tallahassee,Region 2,Leon,30.4782997,-84.2047641,_____,_____,_____,_____,_____,_____,_____,_____,_____
Westminster Palms,Westminster Palms,Saint Petersburg,Region 5,Pinellas,27.7818249,-82.6280906,_____,_____,_____,_____,_____,_____,_____,_____,_____
Westminster Point Pleasant,Westminster Point Pleasant,Bradenton,Region 6,Manatee,27.4968462,-82.5772868,_____,_____,_____,_____,_____,_____,_____,_____,_____
Westminster St. Augustine,Westminster St. Augustine,Saint Augustine,Region 4,St. Johns,29.9866893,-81.4795106,_____,_____,_____,_____,_____,_____,_____,_____,_____
Westminster Suncoast,Westminster Suncoast,Saint Petersburg,Region 5,Pinellas,27.7069206,-82.6481399,_____,_____,_____,_____,_____,_____,_____,_____,_____
Westminster Towers,Westminster Towers,Orlando,Region 7,Orange,28.5333885,-81.3792941,_____,_____,_____,_____,_____,_____,_____,_____,_____
Westminster Winter Park,Westminster Winter Park,Winter Park,Region 7,Orange,28.5832188,-81.3292835,_____,_____,_____,_____,_____,_____,_____,_____,_____
Westminster Woods On Julington Creek,Westminster Woods On Julington Creek,Jacksonville,Region 4,St. Johns,30.1262612,-81.6238794,_____,_____,_____,_____,_____,_____,_____,_____,_____
Westwood Nursing And Rehabilitation Center,Westwood Nursing And Rehabilitation Center,Fort Walton Beach,Region 1,Okaloosa,30.4565334,-86.630577,_____,_____,_____,_____,_____,_____,_____,_____,_____
Williston Care Center,Williston Care Center,Williston,Region 3,Levy,29.388338,-82.4512634,_____,_____,_____,_____,_____,_____,_____,_____,_____
Willowbrooke Court At Azalea Trace,Willowbrooke Court At Azalea Trace,Pensacola,Region 1,Escambia,30.5397222,-87.2082228,_____,_____,_____,_____,_____,_____,_____,_____,_____
Willowbrooke Court At St Andrews Estates,Willowbrooke Court At St Andrews Estates,Boca Raton,Region 9,Palm Beach,26.3616651,-80.1407604,_____,_____,_____,_____,_____,_____,_____,_____,_____
Willowbrooke Court Skilled Care Center- Edgewater At Boca Pointe,Willowbrooke Court Skilled Care Center- Edgewater At Boca Pointe,Boca Raton,Region 9,Palm Beach,26.329794,-80.1517719,_____,_____,_____,_____,_____,_____,_____,_____,_____
Windsor Health And Rehabilitation Center,Windsor Health And Rehabilitation Center,Starke,Region 3,Bradford,29.9393639,-82.107004,_____,_____,_____,_____,_____,_____,_____,_____,_____
Windsor Woods Rehab And Healthcare Center,Windsor Woods Rehab And Healthcare Center,Hudson,Region 5,Pasco,28.3576011,-82.6918945,_____,_____,_____,_____,_____,_____,_____,_____,_____
Winkler Court,Winkler Court,Fort Myers,Region 8,Lee,26.6039125,-81.8455893,_____,_____,_____,_____,_____,_____,_____,_____,_____
Winter Park Care And Rehabilitation,Winter Park Care And Rehabilitation,Winter Park,Region 7,Orange,28.5964766,-81.3090224,_____,_____,_____,_____,_____,_____,_____,_____,_____
Wood Lake Health And Rehabilitation Center,Wood Lake Health And Rehabilitation Center,Greenacres,Region 9,Palm Beach,26.6570698,-80.1436095,_____,_____,_____,_____,_____,_____,_____,_____,_____
Woodland Grove Healthcare & Rehabilitation Center,Woodland Grove Healthcare & Rehabilitation Center,Jacksonville,Region 4,Duval,30.2541063,-81.5872823,_____,_____,_____,_____,_____,_____,_____,_____,_____
